full_name,class,section,marks_english,marks_maths,marks_physics
Thurstan Ashbey,9,2,7,77,5
Anatol Steger,1,2,26,100,50
Brigit Olorenshaw,6,3,20,98,55
Boigie Stourton,5,1,82,45,56
Antoni McGoogan,3,3,96,3,85
Eustace Garstan,9,1,35,23,6
Buiron Allbones,3,1,84,86,4
Bobbie Corzon,4,1,21,40,38
Tobin Muggleton,4,2,44,46,90
Magda Randalson,4,1,17,41,60
Hammad Steward,2,2,89,98,59
Lizzy Pennyman,9,2,99,37,8
Olly Benfell,12,3,27,82,91
Lane Leach,3,2,30,23,18
Rog Dahle,7,3,67,67,22
Stephine Gaughan,4,1,91,35,64
Temp Oke,4,1,98,78,51
Merna Doul,9,3,38,96,11
Elsy Shrubb,6,3,100,67,68
Klara Sedgmond,12,2,43,1,59
Bev Goldsbrough,10,1,22,44,92
Euphemia Touret,9,2,80,31,19
Penni Anlay,9,1,100,21,71
Alta Skeete,6,2,27,27,77
Isa Barenskie,6,2,51,22,67
Norry Darling,3,1,83,56,79
Kristen Hubbert,4,1,39,11,62
Fonz Dumberell,7,3,8,50,36
Angie Churchard,3,3,20,54,74
Ardella Laible,3,1,86,99,17
Cairistiona Gallichan,11,3,97,19,3
Georas Zielinski,5,2,2,9,43
Obadias Heeley,6,3,4,45,51
Jennilee Champney,5,2,13,50,72
Betsey Middle,5,3,6,11,32
Alan Wasylkiewicz,8,1,6,16,52
Myranda Stodit,10,3,44,43,35
Bill Blessed,10,2,89,7,68
Sue Toller,4,1,31,87,24
Jakob Phorsby,11,3,1,57,24
Kip Patten,8,1,28,41,14
Marshal Dewitt,4,1,29,51,63
Rosmunda Buller,9,3,8,55,33
Regan O' Meara,8,2,36,45,4
Tucky Shevlane,2,2,5,45,58
Bunni Bayldon,4,2,82,40,64
Abbye Garlant,6,3,47,77,88
Sally McCreedy,12,2,63,12,76
Bourke Arp,7,2,81,17,41
Jenna Wiseman,11,1,85,7,82
Alvera Tripony,8,1,25,8,90
Laura Tyne,7,3,17,3,70
Edgard Lacknor,5,3,17,80,33
Marjy Kyte,7,3,36,20,62
Abra Filipowicz,6,3,57,53,11
Caspar Johnsee,8,3,55,91,67
Kylynn Franzelini,10,2,44,75,87
Theresina Elsmore,7,1,4,46,40
Samara Copeman,2,2,31,63,56
Marlyn Boards,2,3,93,52,56
Cull Priel,5,1,4,18,59
Jerry Cullabine,9,1,12,93,67
Ignatius McCrea,2,3,67,45,93
Verine Lacknor,11,1,1,66,38
Loren Kuller,10,1,15,95,67
Sally Pollastrone,2,2,47,21,77
Helaina Greensall,1,1,23,57,30
Wally Tague,7,1,73,28,47
Antoni Winsper,9,3,80,9,66
Cristine Drever,4,1,86,92,38
Nellie Grinyer,3,3,66,3,84
Hedy Ashpital,6,2,99,45,38
Peggie McKinnon,11,1,75,54,8
Wainwright Jost,8,1,76,28,7
Allen Ruddock,5,2,19,88,34
Richy Filmer,2,2,71,58,22
Teressa Kehri,3,3,35,13,54
Meta Linner,8,2,35,35,19
Jasper Kennon,11,1,91,4,50
Bartholomeus Mingus,6,3,19,63,77
Olimpia Dullaghan,3,1,38,84,28
Ric Naptine,9,2,33,80,61
Mariya Bucknell,7,2,8,90,44
Adriana Cupper,12,3,50,54,14
Lindie Janew,9,2,69,100,91
Chandra Domotor,10,3,78,91,88
Winfred Ottosen,7,3,89,51,50
Jolee Rames,7,1,11,82,32
Wilden Ritchman,9,3,35,73,42
Fredi Spurriar,9,2,95,86,27
Noah McIlrath,4,3,81,73,51
Antonius Orlton,10,1,27,18,9
Reinold McLorinan,6,2,39,64,75
Sly Sleaford,11,2,77,85,17
Todd Gladwish,1,2,63,46,2
Laurent Ramshay,12,3,20,75,69
Karee Mackstead,7,2,69,42,55
Josefa Longhirst,1,2,96,39,42
Ada Shaxby,5,2,63,21,64
Malanie Siccombe,1,1,92,89,82
Geoffrey Menere,7,3,50,15,60
Law Hardwell,1,1,55,46,24
Claiborn Ancliffe,5,3,26,32,86
Antoni Cunradi,8,2,24,74,7
Phil Peniman,4,1,35,25,80
Teddy Chestle,5,1,43,81,17
Coreen Parks,7,2,55,26,27
Elisabet Barette,10,3,61,41,59
Trstram Roddie,2,3,38,64,19
Emlynne Gregson,2,2,76,26,11
Gerianna Pawfoot,6,2,25,29,12
Boote Phython,8,1,18,94,87
Boothe Cheetam,10,3,23,17,84
Helena Alenshev,5,1,75,7,87
Lanny Shervington,4,1,62,74,62
Marcellina Bastide,11,3,11,14,91
Van Muat,11,2,99,87,73
Chrissie Szabo,3,2,52,67,30
Horatia Pearch,8,3,59,63,24
Traver Peinke,1,1,94,81,39
Fernande Bernhart,12,1,15,100,95
Jammal Hamshaw,7,3,34,69,40
Lotte Ritchman,2,1,20,36,99
Clement Virgin,4,1,14,76,21
